team,team_url,n_series,n_matches,n_tournaments,n_tournaments_w_series,update_time
Sentinels,https://liquipedia.net/halo/Sentinels,64,119,13,13,2021-12-31T13:07:11Z
Team Allegiance,https://liquipedia.net/halo/Team_Allegiance,35,64,13,12,2021-12-31T13:07:11Z
Classic,,40,15,12,12,2021-12-31T13:07:11Z
exceL Esports,https://liquipedia.net/halo/ExceL_eSports,,,12,,2021-12-31T13:07:11Z
Inconceivable,,51,80,12,12,2021-12-31T13:07:11Z
Kansas City Pioneers,https://liquipedia.net/halo/Kansas_City_Pioneers,7,39,12,4,2021-12-31T13:07:11Z
Team 3D,https://liquipedia.net/halo/Team_3D,20,22,12,5,2021-12-31T13:07:11Z
Team Immunity,https://liquipedia.net/halo/Team_Immunity,29,40,12,12,2021-12-31T13:07:11Z
Vexed Gaming,https://liquipedia.net/halo/Vexed_Gaming,25,23,12,10,2021-12-31T13:07:11Z
Renegades,https://liquipedia.net/halo/Renegades,40,74,11,10,2021-12-31T13:07:11Z
SkitLite Gaming,,13,,11,8,2021-12-31T13:07:11Z
Team Vitality,https://liquipedia.net/halo/Team_Vitality,20,19,11,7,2021-12-31T13:07:11Z
XiT Woundz,,28,3,11,10,2021-12-31T13:07:11Z
Ambush,,26,,10,9,2021-12-31T13:07:11Z
Legendz,,25,8,10,8,2021-12-31T13:07:11Z
Millenium,,14,12,10,5,2021-12-31T13:07:11Z
Storm Ventures,,19,,10,6,2021-12-31T13:07:11Z
TOX Gaming,https://liquipedia.net/halo/TOX_Gaming,48,73,10,10,2021-12-31T13:07:11Z
Warriors,,23,,10,8,2021-12-31T13:07:11Z
3sUP,https://liquipedia.net/halo/3sUP,,,9,,2021-12-31T13:07:11Z
FAB Games eSports,https://liquipedia.net/halo/FAB_Games_eSports,22,51,9,7,2021-12-31T13:07:11Z
Luminosity Gaming,https://liquipedia.net/halo/Luminosity_Gaming,22,29,9,7,2021-12-31T13:07:11Z
Check Six,,5,,8,2,2021-12-31T13:07:11Z
Mock-It Esports,https://liquipedia.net/halo/Mock-It_Esports,47,44,8,15,2021-12-31T13:07:11Z
Noble Black,,24,31,8,8,2021-12-31T13:07:11Z
PuLse Gaming,https://liquipedia.net/halo/Pulse_Gaming,,,8,,2021-12-31T13:07:11Z
Winterfox,https://liquipedia.net/halo/Winterfox,27,26,8,8,2021-12-31T13:07:11Z
Business,,33,21,7,7,2021-12-31T13:07:11Z
Cartel,,38,45,7,7,2021-12-31T13:07:11Z
Epsilon eSports,https://liquipedia.net/halo/Epsilon_eSports,25,62,7,7,2021-12-31T13:07:11Z
eXcellence Gaming,https://liquipedia.net/halo/EXcellence_Gaming,,,7,,2021-12-31T13:07:11Z
Fable eSports,https://liquipedia.net/halo/Fable_eSports,16,26,7,7,2021-12-31T13:07:11Z
iGameSpot,,,,7,,2021-12-31T13:07:11Z
Leviathan,,12,2,7,6,2021-12-31T13:07:11Z
LuxGaming Clan,,27,31,7,8,2021-12-31T13:07:11Z
No Talent,,3,,7,1,2021-12-31T13:07:11Z
Oxygen Supremacy,https://liquipedia.net/halo/Oxygen_Supremacy,23,21,7,8,2021-12-31T13:07:11Z
Team Domination,,3,,7,1,2021-12-31T13:07:11Z
Team NextX,,32,4,7,7,2021-12-31T13:07:11Z
The Dream Team,,11,,7,3,2021-12-31T13:07:11Z
VwS Gaming,https://liquipedia.net/halo/VwS_Gaming,19,,7,7,2021-12-31T13:07:11Z
We Know The Secret,,2,,7,1,2021-12-31T13:07:11Z
Enigma6 Group,https://liquipedia.net/halo/Enigma6_Group,13,37,6,5,2021-12-31T13:07:11Z
eRa Eternity,https://liquipedia.net/halo/ERa_Eternity,,,6,,2021-12-31T13:07:11Z
Fatal Ambition,,18,,6,6,2021-12-31T13:07:11Z
Fnatic,https://liquipedia.net/halo/Fnatic,8,,6,3,2021-12-31T13:07:11Z
FootFungas792,,15,20,6,6,2021-12-31T13:07:11Z
French Toast Mafia,,12,,6,5,2021-12-31T13:07:11Z
G2 Esports,https://liquipedia.net/halo/G2_Esports,32,59,6,6,2021-12-31T13:07:11Z
Golden Modem Squad,,17,32,6,6,2021-12-31T13:07:11Z
Hydra Gaming,,12,15,6,5,2021-12-31T13:07:11Z
Infamous,,18,20,6,7,2021-12-31T13:07:11Z
Mock-it Esports,https://liquipedia.net/halo/Mock-It_Esports,,,6,,2021-12-31T13:07:11Z
Nfinite,https://liquipedia.net/halo/Nfinite,17,6,6,6,2021-12-31T13:07:11Z
Shock The World,https://liquipedia.net/halo/Shock_The_World,18,,6,6,2021-12-31T13:07:11Z
Solaris,https://liquipedia.net/halo/Solaris,18,22,6,6,2021-12-31T13:07:11Z
Team Envy,https://liquipedia.net/halo/Team_Envy,31,41,6,10,2021-12-31T13:07:11Z
Team Vibe,https://liquipedia.net/halo/Team_Vibe,10,31,6,4,2021-12-31T13:07:11Z
Trademark Gamers,,7,8,6,2,2021-12-31T13:07:11Z
Void,,31,4,6,6,2021-12-31T13:07:11Z
Wrecking Gaming,,2,,6,1,2021-12-31T13:07:11Z
5K,,16,10,5,5,2021-12-31T13:07:11Z
Authority,,18,7,5,5,2021-12-31T13:07:11Z
Carnage Gaming,,16,,5,5,2021-12-31T13:07:11Z
Chosen Squad,https://liquipedia.net/halo/Chosen_Squad,15,21,5,4,2021-12-31T13:07:11Z
Cutting Edge Esports,,12,,5,5,2021-12-31T13:07:11Z
eUnited,https://liquipedia.net/halo/EUnited,,,5,,2021-12-31T13:07:11Z
FBI The Agency,,18,23,5,5,2021-12-31T13:07:11Z
Flyers,,21,,5,5,2021-12-31T13:07:11Z
Gamers First,https://liquipedia.net/halo/Gamers_First,19,25,5,5,2021-12-31T13:07:11Z
Legion Raccoon,,8,6,5,3,2021-12-31T13:07:11Z
Liquid Swords,,18,13,5,5,2021-12-31T13:07:11Z
Natus Vincere,https://liquipedia.net/halo/Natus_Vincere,34,84,5,5,2021-12-31T13:07:11Z
Nice Like Rice,,12,8,5,4,2021-12-31T13:07:11Z
NTSC,,1,,5,1,2021-12-31T13:07:11Z
Núcleo Artem,,5,,5,1,2021-12-31T13:07:11Z
Pnda Gaming,https://liquipedia.net/halo/Pnda_Gaming,11,9,5,5,2021-12-31T13:07:11Z
Psycho Soldiers,,4,6,5,2,2021-12-31T13:07:11Z
Ronin Esports,https://liquipedia.net/halo/Ronin_Esports,10,9,5,3,2021-12-31T13:07:11Z
Solid Gaming,,12,,5,5,2021-12-31T13:07:11Z
TCM Gaming,https://liquipedia.net/halo/TCM_Gaming,10,14,5,3,2021-12-31T13:07:11Z
Team Orbit,,1,,5,1,2021-12-31T13:07:11Z
The Meme Team,,2,,5,1,2021-12-31T13:07:11Z
Virginia Velocity,,25,,5,5,2021-12-31T13:07:11Z
Wise Gaming,https://liquipedia.net/halo/Wise_Gaming,12,14,5,5,2021-12-31T13:07:11Z
Amazing Pickles,,3,,4,1,2021-12-31T13:07:11Z
Astra,,12,21,4,4,2021-12-31T13:07:11Z
BBR,,20,21,4,4,2021-12-31T13:07:11Z
Capital Punishment,,5,,4,2,2021-12-31T13:07:11Z
Catastrophe,,8,,4,4,2021-12-31T13:07:11Z
Contagious,,8,,4,4,2021-12-31T13:07:11Z
Crowd Pleasers,,16,42,4,4,2021-12-31T13:07:11Z
Divine Mind,https://liquipedia.net/halo/Divine_Mind,25,44,4,4,2021-12-31T13:07:11Z
Ebenezer Gaming,,12,2,4,5,2021-12-31T13:07:11Z
FBI GamerGraffix,,12,,4,3,2021-12-31T13:07:11Z
Gerbils,,14,,4,4,2021-12-31T13:07:11Z
LeaveNoWitness,https://liquipedia.net/halo/LeaveNoWitness,18,39,4,3,2021-12-31T13:07:11Z
Legendary,,9,8,4,3,2021-12-31T13:07:11Z
MaxiSaucisse,,14,19,4,4,2021-12-31T13:07:11Z
Mindfreak,https://liquipedia.net/halo/Mindfreak,8,9,4,4,2021-12-31T13:07:11Z
Most Wanted,,8,,4,4,2021-12-31T13:07:11Z
Narcos,,3,,4,1,2021-12-31T13:07:11Z
OnlyGoodOnline,,8,,4,4,2021-12-31T13:07:11Z
Oxygen Esports,https://liquipedia.net/halo/Oxygen_Esports,17,36,4,4,2021-12-31T13:07:11Z
PENTA Sports,https://liquipedia.net/halo/PENTA_Sports,8,9,4,4,2021-12-31T13:07:11Z
Pulse Gaming,https://liquipedia.net/halo/Pulse_Gaming,24,32,4,9,2021-12-31T13:07:11Z
Question Reality,,15,26,4,4,2021-12-31T13:07:11Z
Radiant Esports,https://liquipedia.net/halo/Radiant_Esports,8,,4,4,2021-12-31T13:07:11Z
Rebel,,17,,4,4,2021-12-31T13:07:11Z
Spacestation Gaming,https://liquipedia.net/halo/Spacestation_Gaming,25,56,4,5,2021-12-31T13:07:11Z
Synergy Gaming,,6,,4,1,2021-12-31T13:07:11Z
Talentless,,7,15,4,4,2021-12-31T13:07:11Z
Team Dignitas,,7,13,4,2,2021-12-31T13:07:11Z
Team EnVyUs,https://liquipedia.net/halo/Team_Envy,48,122,4,13,2021-12-31T13:07:11Z
Team Exile5,https://liquipedia.net/halo/Team_Exile5,11,26,4,4,2021-12-31T13:07:11Z
Team iDeaL,,3,,4,1,2021-12-31T13:07:11Z
Team infused,https://liquipedia.net/halo/Team_Infused,,,4,,2021-12-31T13:07:11Z
Team WaR,https://liquipedia.net/halo/Team_WaR,11,14,4,4,2021-12-31T13:07:11Z
TERA Gaming,,5,,4,4,2021-12-31T13:07:11Z
The Boys,,22,49,4,4,2021-12-31T13:07:11Z
Usual Suspects,,7,,4,4,2021-12-31T13:07:11Z
ViNCO Gaming,https://liquipedia.net/halo/ViNCO_Gaming,13,10,4,4,2021-12-31T13:07:11Z
Viperio Esports,,10,8,4,3,2021-12-31T13:07:11Z
XSET,https://liquipedia.net/halo/XSET,14,33,4,3,2021-12-31T13:07:11Z
Active Rush,,4,,3,2,2021-12-31T13:07:11Z
Annex,,5,11,3,3,2021-12-31T13:07:11Z
Aztek Gaming,,8,,3,3,2021-12-31T13:07:11Z
Berserker Esports,https://liquipedia.net/halo/Berserker_Esports,7,11,3,3,2021-12-31T13:07:11Z
BitterSweet,,11,,3,4,2021-12-31T13:07:11Z
BLVKHVND,,8,11,3,4,2021-12-31T13:07:11Z
Cat Boys,,13,2,3,4,2021-12-31T13:07:11Z
Chosen Legacy,,11,9,3,3,2021-12-31T13:07:11Z
CoD Players,,13,29,3,3,2021-12-31T13:07:11Z
Darkest Hour,,9,,3,3,2021-12-31T13:07:11Z
Degenerates,,13,19,3,3,2021-12-31T13:07:11Z
Denial Esports,https://liquipedia.net/halo/Denial_Esports,15,30,3,5,2021-12-31T13:07:11Z
Devote,,8,18,3,3,2021-12-31T13:07:11Z
DidntHearNoBell,,10,21,3,3,2021-12-31T13:07:11Z
Dire Wolves,https://liquipedia.net/halo/Dire_Wolves,21,31,3,3,2021-12-31T13:07:11Z
DOSSERS,,7,14,3,3,2021-12-31T13:07:11Z
Egoed,,7,,3,3,2021-12-31T13:07:11Z
EVL Gaming,,4,3,3,3,2021-12-31T13:07:11Z
Exile Gaming,,,,3,,2021-12-31T13:07:11Z
Extincion,,6,,3,3,2021-12-31T13:07:11Z
Fantom,,12,25,3,3,2021-12-31T13:07:11Z
Fatal Images,,6,,3,3,2021-12-31T13:07:11Z
FBI Icon,,8,12,3,3,2021-12-31T13:07:11Z
Final Form,,10,,3,3,2021-12-31T13:07:11Z
Genios Malvados,,4,,3,1,2021-12-31T13:07:11Z
Good Game,,,,3,,2021-12-31T13:07:11Z
Heaven and Earth,,7,,3,3,2021-12-31T13:07:11Z
High Force,,,,3,,2021-12-31T13:07:11Z
Hyped Gaming,,7,6,3,3,2021-12-31T13:07:11Z
Improvity HI,,16,35,3,3,2021-12-31T13:07:11Z
InControl,,,,3,,2021-12-31T13:07:11Z
Insane Square,,,,3,,2021-12-31T13:07:11Z
Jacuzzi,,13,27,3,3,2021-12-31T13:07:11Z
Katrina FR,,,,3,,2021-12-31T13:07:11Z
Lies,,6,9,3,3,2021-12-31T13:07:11Z
LowLandLions,,,,3,,2021-12-31T13:07:11Z
MDR 2,,7,,3,3,2021-12-31T13:07:11Z
MobDeep.net,,8,,3,3,2021-12-31T13:07:11Z
Monglers Legendz,,,,3,,2021-12-31T13:07:11Z
Myztro Gaming,https://liquipedia.net/halo/Myztro_Gaming,8,24,3,3,2021-12-31T13:07:11Z
No Talent 2,,,,3,,2021-12-31T13:07:11Z
Noble Esports,,,,3,,2021-12-31T13:07:11Z
Not Enough GAs,,7,11,3,3,2021-12-31T13:07:11Z
Nuke and Pave,,11,18,3,3,2021-12-31T13:07:11Z
NutriBullet,,18,31,3,3,2021-12-31T13:07:11Z
OEX,,21,58,3,3,2021-12-31T13:07:11Z
Pace Making Pandas,,5,,3,1,2021-12-31T13:07:11Z
Power Gaming,,,,3,,2021-12-31T13:07:11Z
R Rated,,13,10,3,3,2021-12-31T13:07:11Z
Reflex,,11,15,3,3,2021-12-31T13:07:11Z
Seal Team Six,,10,25,3,3,2021-12-31T13:07:11Z
Shook on3 Gaming,,,,3,,2021-12-31T13:07:11Z
SnakedandHeated,,8,20,3,3,2021-12-31T13:07:11Z
Team CryptiK,,7,,3,3,2021-12-31T13:07:11Z
Team Domination 2,,,,3,,2021-12-31T13:07:11Z
Team FFA,,5,3,3,1,2021-12-31T13:07:11Z
Team Force,https://liquipedia.net/halo/Team_Force,13,,3,4,2021-12-31T13:07:11Z
Team h2k,,,,3,,2021-12-31T13:07:11Z
Team Mantra,https://liquipedia.net/halo/Team_Mantra,11,,3,3,2021-12-31T13:07:11Z
Team Montage,,,,3,,2021-12-31T13:07:11Z
Team Twisted,,12,27,3,3,2021-12-31T13:07:11Z
The Agency,,6,7,3,2,2021-12-31T13:07:11Z
The Dinosaurs,,4,,3,2,2021-12-31T13:07:11Z
The Unwanted,,8,,3,3,2021-12-31T13:07:11Z
TNT,,20,43,3,3,2021-12-31T13:07:11Z
Trifecta Gaming,,11,,3,3,2021-12-31T13:07:11Z
Ultra Instinct,,9,17,3,4,2021-12-31T13:07:11Z
VANDYL,https://liquipedia.net/halo/VANDYL,6,,3,3,2021-12-31T13:07:11Z
VanguardEscapee,,14,18,3,3,2021-12-31T13:07:11Z
Velocity Esports,,,,3,,2021-12-31T13:07:11Z
XMEN,,7,,3,2,2021-12-31T13:07:11Z
Zotz Gaming,,4,4,3,3,2021-12-31T13:07:11Z
04 Pistons,,6,,2,2,2021-12-31T13:07:11Z
17 RIP,,4,,2,2,2021-12-31T13:07:11Z
AB,,2,,2,1,2021-12-31T13:07:11Z
ABCDE,,7,,2,2,2021-12-31T13:07:11Z
abcdefghijklmno,,,,2,,2021-12-31T13:07:11Z
Aftermath,,7,,2,2,2021-12-31T13:07:11Z
Another Dimension,,4,,2,2,2021-12-31T13:07:11Z
Antigravity,,4,,2,2,2021-12-31T13:07:11Z
Artificial Inte,,12,28,2,3,2021-12-31T13:07:11Z
Aspire eSports,,9,,2,2,2021-12-31T13:07:11Z
Aspyre Entertainment,,5,,2,2,2021-12-31T13:07:11Z
Australian Rush,,9,,2,2,2021-12-31T13:07:11Z
Avalanche,,2,,2,2,2021-12-31T13:07:11Z
Believe the Hype,,,,2,,2021-12-31T13:07:11Z
Betterville,,4,6,2,3,2021-12-31T13:07:11Z
BH3 Elysium,,,,2,,2021-12-31T13:07:11Z
BH3 NeXuS,,2,,2,1,2021-12-31T13:07:11Z
Brute Force,,8,6,2,2,2021-12-31T13:07:11Z
Built By Gamers,https://liquipedia.net/halo/Built_By_Gamers,6,11,2,2,2021-12-31T13:07:11Z
Business Decision,,,,2,,2021-12-31T13:07:11Z
Cellular Oasis,,3,,2,1,2021-12-31T13:07:11Z
Chicago Nightpack,,6,,2,1,2021-12-31T13:07:11Z
Cintanegra,,17,38,2,4,2021-12-31T13:07:11Z
CintaNegra X,,7,11,2,3,2021-12-31T13:07:11Z
Citadel Gaming,,4,3,2,2,2021-12-31T13:07:11Z
Clown Squad,,5,12,2,2,2021-12-31T13:07:11Z
Complexity Gaming,https://liquipedia.net/halo/Complexity_Gaming,2,,2,1,2021-12-31T13:07:11Z
Deception,,5,,2,2,2021-12-31T13:07:11Z
Denial eSports,https://liquipedia.net/halo/Denial_eSports,66,101,2,21,2021-12-31T13:07:11Z
Divine Domination,,,,2,,2021-12-31T13:07:11Z
DN34,,10,23,2,2,2021-12-31T13:07:11Z
DoZe Esports,,1,3,2,1,2021-12-31T13:07:11Z
Dream Team,https://liquipedia.net/halo/Dream_Team,6,13,2,2,2021-12-31T13:07:11Z
Dug's Buddies,,5,,2,1,2021-12-31T13:07:11Z
Elevate,https://liquipedia.net/halo/ELevate,12,,2,4,2021-12-31T13:07:11Z
Eleven & Scythe,,,,2,,2021-12-31T13:07:11Z
Elite,,3,2,2,2,2021-12-31T13:07:11Z
Elite Four,,8,17,2,2,2021-12-31T13:07:11Z
Endpoint,https://liquipedia.net/halo/Endpoint,6,3,2,2,2021-12-31T13:07:11Z
ENG GER ITA FRA,,12,,2,2,2021-12-31T13:07:11Z
Epsilon Esports,https://liquipedia.net/halo/Epsilon_eSports,,,2,,2021-12-31T13:07:11Z
Estorm,,5,,2,2,2021-12-31T13:07:11Z
Ethereal,,8,4,2,2,2021-12-31T13:07:11Z
ex-sTw,,,,2,,2021-12-31T13:07:11Z
Excelerate Gaming,,10,,2,2,2021-12-31T13:07:11Z
Excellence Gaming,,,,2,,2021-12-31T13:07:11Z
ExiLe Gaming,,20,,2,8,2021-12-31T13:07:11Z
F Gintron,,,,2,,2021-12-31T13:07:11Z
FAB Games Esports,https://liquipedia.net/halo/FAB_Games_eSports,,,2,,2021-12-31T13:07:11Z
Faux,,7,6,2,2,2021-12-31T13:07:11Z
FaZe Akademy,,8,,2,4,2021-12-31T13:07:11Z
Final,,3,,2,1,2021-12-31T13:07:11Z
Fing,,,,2,,2021-12-31T13:07:11Z
FIU Gold,,,,2,,2021-12-31T13:07:11Z
FJ,,,,2,,2021-12-31T13:07:11Z
Fractal Knights,,5,,2,2,2021-12-31T13:07:11Z
French TO4,,,,2,,2021-12-31T13:07:11Z
FU Gintron,,,,2,,2021-12-31T13:07:11Z
GameTyrant,,5,,2,2,2021-12-31T13:07:11Z
Gears Goons,,6,12,2,2,2021-12-31T13:07:11Z
Ghosts of Onyx,,7,,2,2,2021-12-31T13:07:11Z
GigaHub,,7,7,2,2,2021-12-31T13:07:11Z
GNARLY,,9,21,2,3,2021-12-31T13:07:11Z
Godly 4,,6,,2,2,2021-12-31T13:07:11Z
Goo Shooters,,8,19,2,3,2021-12-31T13:07:11Z
Gryffindor,,8,,2,2,2021-12-31T13:07:11Z
GU,,,,2,,2021-12-31T13:07:11Z
Gutter Gang,,4,,2,2,2021-12-31T13:07:11Z
Halo 5 2021,,10,9,2,2,2021-12-31T13:07:11Z
heavy bl4me,,,,2,,2021-12-31T13:07:11Z
HMDA,,13,27,2,2,2021-12-31T13:07:11Z
I Don't Know,,,,2,,2021-12-31T13:07:11Z
Impressive,,4,,2,2,2021-12-31T13:07:11Z
Improvity Gaming,,12,11,2,3,2021-12-31T13:07:11Z
Improvity Mommy,,10,21,2,3,2021-12-31T13:07:11Z
InControl Nation,,9,2,2,4,2021-12-31T13:07:11Z
Infinity Gaming,,7,15,2,2,2021-12-31T13:07:11Z
Insane Lobsters,,6,,2,2,2021-12-31T13:07:11Z
Insane Onfire,,,,2,,2021-12-31T13:07:11Z
Integral Nation,,3,,2,2,2021-12-31T13:07:11Z
Invalid Esports,,4,,2,2,2021-12-31T13:07:11Z
Invictus,,3,,2,1,2021-12-31T13:07:11Z
Invizion,,8,18,2,2,2021-12-31T13:07:11Z
Kamikaze Ninjas,,7,7,2,2,2021-12-31T13:07:11Z
Kill Me Noob,,,,2,,2021-12-31T13:07:11Z
Killing the Dream,,3,4,2,2,2021-12-31T13:07:11Z
Kingdom,,7,,2,2,2021-12-31T13:07:11Z
Kroganavaccine,,9,,2,2,2021-12-31T13:07:11Z
Left For Dead,,4,,2,2,2021-12-31T13:07:11Z
LIDENSKAP,,5,11,2,2,2021-12-31T13:07:11Z
LIED,,1,,2,1,2021-12-31T13:07:11Z
Livin the Dream,,2,2,2,2,2021-12-31T13:07:11Z
London Conspiracy,https://liquipedia.net/halo/London_Conspiracy,7,11,2,2,2021-12-31T13:07:11Z
LOOT AT ME,,9,20,2,2,2021-12-31T13:07:11Z
LoRdZ,,2,,2,1,2021-12-31T13:07:11Z
Loyal Penguins,,,,2,,2021-12-31T13:07:11Z
Lux Gaming,,4,,2,1,2021-12-31T13:07:11Z
M2D2,,2,,2,1,2021-12-31T13:07:11Z
MAGS,,2,,2,1,2021-12-31T13:07:11Z
Mazer Gaming,,7,8,2,2,2021-12-31T13:07:11Z
Melting Pot,,6,14,2,2,2021-12-31T13:07:11Z
Mixtape,,6,13,2,2,2021-12-31T13:07:11Z
MoB PowerTripBev.com,,4,,2,2,2021-12-31T13:07:11Z
Mombasa Rising,,5,11,2,3,2021-12-31T13:07:11Z
Morning Twig,,,,2,,2021-12-31T13:07:11Z
Mount Union,,,,2,,2021-12-31T13:07:11Z
Muriel Robin,,6,,2,2,2021-12-31T13:07:11Z
Musashi Gaming,,9,10,2,2,2021-12-31T13:07:11Z
Natural Killers,,4,,2,2,2021-12-31T13:07:11Z
Nemesis Esports,,7,,2,2,2021-12-31T13:07:11Z
No LiMiT,,2,,2,1,2021-12-31T13:07:11Z
No Mercy Esports,,8,,2,2,2021-12-31T13:07:11Z
Notorious,,9,,2,2,2021-12-31T13:07:11Z
OE Baby,,7,,2,2,2021-12-31T13:07:11Z
OMiT,,3,,2,1,2021-12-31T13:07:11Z
On Top,,10,,2,2,2021-12-31T13:07:11Z
Ottawa University,,11,17,2,2,2021-12-31T13:07:11Z
Overpower Gaming,,10,,2,3,2021-12-31T13:07:11Z
PainX,,6,7,2,2,2021-12-31T13:07:11Z
Parademons,,2,,2,1,2021-12-31T13:07:11Z
Pepe Squad,,8,18,2,2,2021-12-31T13:07:11Z
Perfect Balance,,4,,2,2,2021-12-31T13:07:11Z
Perfect Dynamic,,9,6,2,3,2021-12-31T13:07:11Z
Perfect Storm,,7,8,2,2,2021-12-31T13:07:11Z
Pickup Squad,,6,12,2,2,2021-12-31T13:07:11Z
Points,,5,11,2,2,2021-12-31T13:07:11Z
Prime,,5,10,2,2,2021-12-31T13:07:11Z
Prophecy,,2,,2,1,2021-12-31T13:07:11Z
RBG Esports,,3,,2,2,2021-12-31T13:07:11Z
Red Wolves,,,,2,,2021-12-31T13:07:11Z
Regain,,7,2,2,2,2021-12-31T13:07:11Z
Reign,,6,,2,2,2021-12-31T13:07:11Z
ReKd,,2,,2,1,2021-12-31T13:07:11Z
Reloaded After Four,,6,,2,2,2021-12-31T13:07:11Z
Reno 911,,,,2,,2021-12-31T13:07:11Z
Replay Stallions,,3,,2,1,2021-12-31T13:07:11Z
Replays,,2,4,2,2,2021-12-31T13:07:11Z
Rift Gaming,,5,8,2,2,2021-12-31T13:07:11Z
SE,,,,2,,2021-12-31T13:07:11Z
SetToDestroyX,,5,9,2,2,2021-12-31T13:07:11Z
Shady Kings,,1,,2,1,2021-12-31T13:07:11Z
Shoot To Kill 2,,,,2,,2021-12-31T13:07:11Z
Show and Prove,,5,10,2,2,2021-12-31T13:07:11Z
Slytherin,,4,,2,2,2021-12-31T13:07:11Z
SoaR Gaming,https://liquipedia.net/halo/SoaR_Gaming,6,13,2,2,2021-12-31T13:07:11Z
Soaring,,3,,2,2,2021-12-31T13:07:11Z
Solid,,10,4,2,2,2021-12-31T13:07:11Z
South Mx Gaming,,2,,2,2,2021-12-31T13:07:11Z
Stainers,,4,9,2,2,2021-12-31T13:07:11Z
Strafe,,9,,2,2,2021-12-31T13:07:11Z
Strife Scenario,,1,,2,1,2021-12-31T13:07:11Z
Sworn Oath,,5,11,2,2,2021-12-31T13:07:11Z
SYA,,3,,2,2,2021-12-31T13:07:11Z
TCSS,,4,,2,2,2021-12-31T13:07:11Z
Team 1,,6,,2,2,2021-12-31T13:07:11Z
Team eX,,6,,2,2,2021-12-31T13:07:11Z
Team FFA 2,,,,2,,2021-12-31T13:07:11Z
Team Gigz,,,,2,,2021-12-31T13:07:11Z
Team Menace,,6,,2,2,2021-12-31T13:07:11Z
Team MystiC,,2,,2,1,2021-12-31T13:07:11Z
Team Name,,7,,2,2,2021-12-31T13:07:11Z
Team Origin,,,,2,,2021-12-31T13:07:11Z
Team PBR,,,,2,,2021-12-31T13:07:11Z
Team Randa,,6,15,2,2,2021-12-31T13:07:11Z
Team Reign,,4,11,2,2,2021-12-31T13:07:11Z
TeK,,,,2,,2021-12-31T13:07:11Z
The Chargers,,,,2,,2021-12-31T13:07:11Z
The Gosu Crew,,3,,2,1,2021-12-31T13:07:11Z
The Guard,https://liquipedia.net/halo/The_Guard,6,18,2,2,2021-12-31T13:07:11Z
TsK,,,,2,,2021-12-31T13:07:11Z
Turkish Delight,,7,,2,2,2021-12-31T13:07:11Z
Ummm,,,,2,,2021-12-31T13:07:11Z
Unknown Team,,4,,2,2,2021-12-31T13:07:11Z
Unsigned Talent,,6,3,2,2,2021-12-31T13:07:11Z
UoNA Dragons,,,,2,,2021-12-31T13:07:11Z
VaB,,1,,2,1,2021-12-31T13:07:11Z
Vanity Gaming,,8,,2,2,2021-12-31T13:07:11Z
VCU,,,,2,,2021-12-31T13:07:11Z
